time,theta_PID1_noload,theta_PID2_noload,theta_PID3_noload,theta_ref,Volt_PID1_noload,Volt_PID2_noload,Volt_PID3_noload
2.61,90.6810428718777,97.678817700462,92.1575487974603,90,0.204506774225004,-2.68309476000977,-0.142794590972215
2.62,90.4239891948672,96.9447849859573,92.0384325832458,90,0.282161656320659,-2.50813875529471,-0.120861644829485
2.63,90.1920610347188,96.1558230604128,91.9224793656656,90,0.351663653332147,-2.31041415807499,-0.0998354442859286
2.64,89.986735700946,95.3222602146116,91.8103622195612,90,0.412464126551099,-2.09278906866005,-0.0799077875918395
2.65,89.8090758505277,94.4546234228934,91.7026730073625,90,0.464154883497474,-1.85827001740028,-0.0612449560949402
2.66,89.659733869957,93.5635149727622,91.5999198694533,90,0.506467336718069,-1.60996436038444,-0.0439871764027817
2.67,89.5389615266308,92.6594918600944,91.5025259218158,90,0.539269839901075,-1.35104264852592,-0.0282484444469703
2.68,89.4466245254902,91.7529492152245,91.4108291038223,90,0.56256331827225,-1.08470139082744,-0.014116691582806
2.69,89.3822215577274,90.8540089432261,91.325083107996,90,0.576475327740776,-0.814126615920225,-0.00165426974814153
2.7,89.3449073869837,89.9724146689395,91.2454593140473,90,0.581252692190874,-0.542458615257363,0.00910126992423638
2.71,89.3335194849726,89.1174339750636,91.172049641543,90,0.577252880585479,-0.27275822695098,0.0181361327919142
2.72,89.3466077029829,88.2977688113543,91.104870229182,90,0.564934295115447,-0.00797499155868486,0.0254590001007015
2.73,89.3824664482075,87.5214748361197,91.0438658438234,90,0.544845648485643,0.249082519448622,0.0310995427003925
2.74,89.4391688242061,86.795890329263,90.9889149190978,90,0.517614612607253,0.495773934842011,0.0351067604147355
2.75,89.5146021927974,86.1275751906215,90.9398351215936,90,0.483935922528103,0.729651641776531,0.0375471786923013
2.76,89.6065046199959,85.5222604097683,90.8963893421658,90,0.444559118475522,0.948482474915134,0.0385029340378043
2.77,89.7125016808424,84.9848082652901,90.8582920107961,90,0.400276105534963,1.15026637827848,0.038069779206065
2.78,89.8301431166699,84.5191833842598,90.8252156355442,90,0.351908704893643,1.33325191997706,0.0363550382634567
2.79,89.9569388629461,84.1284346675873,90.7967974693655,90,0.300296362916846,1.49594857860951,0.0334755404173836
2.8,90.0903939957623,83.8146879654902,90.7726462128317,90,0.246284174789636,1.63713575851696,0.0295555600184038
2.81,90.2280421796448,83.579149270722,90.7523486659452,90,0.190711368259398,1.75586852884406,0.024724788388616
2.82,90.3674772379898,83.4221180865917,90.7354762481825,90,0.13440038037841,1.8514801180722,0.0191163611616426
2.83,90.506382509367,83.3430105232645,90.7215913125005,90,0.0781466463032125,1.9235812309784,0.0128649626720767
2.84,90.6425576974935,83.3403915803004,90.7102531861768,90,0.0227092043972153,1.97205628848349,0.00610502664373097
2.85,90.7739429691379,83.4120159866903,90.7010238789033,90,-0.0311977936544893,1.99705672226277,-0.00103094996608549
2.86,90.8986401018746,83.5548768925092,90.6934734063929,90,-0.0829125950342614,1.99899148501227,-0.00841396556814589
2.87,91.0149305317704,83.7652616392937,90.6871846857759,90,-0.131832323878693,1.97851496364028,-0.0159199330815646
2.88,91.121290199101,84.0388137798245,90.6817579671424,90,-0.177418385158231,1.93651250616918,-0.0234309501949158
2.89,91.2164011374179,84.3706004724748,90.676814773622,90,-0.219200770352322,1.87408379360852,-0.0308364137867939
2.9,91.2991597971251,84.7551843408552,90.6720013302882,90,-0.256781256629903,1.79252430535661,-0.038033973938814
2.91,91.3686821386398,85.1866988662179,90.6669914698371,90,-0.289835506360804,1.6933051407048,-0.0449303252800357
2.92,91.4243055716864,85.6589263678949,90.6614890103359,90,-0.318114088132602,1.5780514696951,-0.0514418355955234
2.93,91.465587855885,86.1653776257627,90.6552296072943,90,-0.341442453873105,1.44851989389659,-0.0574950136924704
2.94,91.4923031131366,86.6993722080393,90.6479820888165,90,-0.35971991904297,1.30657500163569,-0.0630268204269931
2.95,91.5044351340705,87.2541185872139,90.6395492885884,90,-0.372917704048861,1.15416540289297,-0.067984828538498
2.96,91.5021681887308,87.8227931560717,90.6297683968974,90,-0.381076104938587,0.993299526554147,-0.0723272385044685
