time,theta_PID3_noload,theta_PID3,theta_ref,Volt_PID3_noload,Volt_PID3,torque
4.76,89.9228788002212,89.9575725327952,90,0.00372218857273839,7.19891849032168,4.5
4.77,89.9250215523542,89.9565895888305,90,0.00365861437643151,7.19899731000361,4.5
4.78,89.9271263899586,89.955648149936,90,0.00359767071309536,7.19907607470313,4.5
4.79,89.9291939103321,89.9547476259177,90,0.00353916852148523,7.19915467415312,4.5
4.8,89.9312247796126,89.9538874861154,90,0.00348290357492448,7.19923298422789,4.5
4.81,89.9332197202172,89.9530672507833,90,0.00342866021148407,7.19931086964712,4.5
4.82,89.9351794984931,89.9522864824653,90,0.00337621497256588,7.19938818665701,4.5
4.83,89.9371049127202,89.9515447774754,90,0.00332534010960343,7.19946478565592,4.5
4.84,89.9389967815896,89.9508417575873,90,0.00327580692282293,7.1995405137346,4.5
4.85,89.9408559332713,89.950177062026,90,0.00322738890020751,7.19961521710388,4.5
4.86,89.942683195168,89.9495503398463,90,0.00317986462940612,7.19968874338598,4.5
4.87,89.9444793844386,89.9489612427718,90,0.00313302045974393,7.19976094374852,4.5
4.88,89.9462452993592,89.9484094185583,90,0.00308665289613845,7.19983167486387,4.5
4.89,89.9479817115768,89.9478945049348,90,0.00304057071115229,7.19990080067951,4.5
4.9,89.9496893592932,89.9474161241641,90,0.00299459676584836,7.19996819398841,4.5
4.91,89.9513689414054,89.9469738782551,90,0.00294856953437422,7.20003373779176,4.5
4.92,89.9530211126143,89.9465673448488,90,0.00290234433120756,7.20009732644929,4.5
4.93,89.9546464794989,89.946196073789,90,0.00285579424389096,7.20015886661552,4.5
4.94,89.9562455975454,89.9458595843808,90,0.0028088107775357,7.2002182779631,4.5
4.95,89.9578189691037,89.9455573633296,90,0.0027613042207383,7.20027549369684,4.5
4.96,89.9593670422386,89.945288863346,90,0.00271320374538396,7.20033046086482,4.5
4.97,89.9608902104315,89.9450535023943,90,0.00266445725549042,7.20038314047469,4.5
4.98,89.962388813081,89.9448506635551,90,0.00261503100243872,7.20043350742568,4.5
4.99,89.9638631367421,89.944679695466,90,0.00256490898587419,7.20048155026822,4.5
5,89.9653134170432,89.9445399133015,90,0.00251409216103517,7.20052727080461,4.5
5.01,89.9667398412075,89.9444306002454,90,0.00246259747450163,7.20057068354549,4.5
5.02,89.9681425511105,89.9443510094077,90,0.00241045675113464,7.20061181503767,4.5
5.03,89.9695216467969,89.944300366136,90,0.00235771545551383,7.20065070307945,4.5
5.04,89.9708771903811,89.944277870666,90,0.00230443135127572,7.20068739584034,4.5
5.05,89.9722092102564,89.9442827010588,90,0.00225067308169375,7.20072195090189,4.5
5.06,89.9735177055372,89.9443140163692,90,0.00219651869435324,7.20075443423658,4.5
5.07,89.9748026506608,89.9443709599918,90,0.00214205413209088,7.20078491914133,4.5
5.08,89.9760640000776,89.9444526631301,90,0.00208737171146966,7.20081348514184,4.5
5.09,89.977301692963,89.9445582483388,90,0.00203256860890669,7.20084021688331,4.5
5.1,89.9785156578866,89.9446868330886,90,0.00197774537320252,7.20086520302226,4.5
5.11,89.9797058173789,89.9448375333071,90,0.00192300448181004,7.20088853513351,4.5
5.12,89.980872092343,89.9450094668522,90,0.00186844895651013,7.20091030664485,4.5
5.13,89.9820144062609,89.9452017568782,90,0.00181418105251129,7.20093061181139,4.5
5.14,89.9831326891512,89.9454135350572,90,0.00176030103311926,7.20094954473996,4.5
5.15,89.9842268812418,89.9456439446247,90,0.00170690604039006,7.20096719847273,4.5
5.16,89.9852969363251,89.9458921432203,90,0.00165408907028018,7.20098366413804,4.5
5.17,89.9863428247708,89.9461573054994,90,0.00160193805896757,7.20099903017502,4.5
5.18,89.9873645361764,89.9464386254968,90,0.00155053508520728,7.20101338163721,4.5
5.19,89.9883620816415,89.9467353187272,90,0.00149995569184061,7.2010267995791,4.5
5.2,89.9893354956588,89.9470466240101,90,0.00145026832784255,7.20103936052832,4.5
5.21,89.9902848376178,89.9473718050132,90,0.00140153391072742,7.20105113604478,4.5
5.22,89.9912101929249,89.9477101515115,90,0.00135380550755187,7.20106219236707,4.5
5.23,89.9921116737458,89.9480609803614,90,0.00130712813146751,7.20107259014516,4.5
5.24,89.9929894193828,89.9484236361958,90,0.00126153864937662,7.20108238425756,4.5
5.25,89.9938435963021,89.948797491846,90,0.00121706579522107,7.20109162370993,4.5
5.26,89.9946743978304,89.9491819485026,90,0.00117373028234362,7.20110035161159,4.5
5.27,89.9954820435422,89.9495764356263,90,0.00113154500757848,7.20110860522529,4.5
5.28,89.9962667783639,89.9499804106266,90,0.00109051533895553,7.20111641608523,4.5
5.29,89.9970288714197,89.9503933583229,90,0.00105063947839544,7.20112381017754,4.5
5.3,89.9977686146498,89.95081479021,90,0.00101190889028998,7.2011308081772,4.5
5.31,89.998486321229,89.9512442435456,90,0.000974308786661571,7.20113742573491,4.5
5.32,89.9991823238173,89.9516812802834,90,0.000937818659349843,7.20114367380722,4.5
5.33,89.9998569726725,89.952125485872,90,0.000902412849752768,7.20114955902298,4.5
5.34,90.0005106336558,89.9525764679432,90,0.000868061146697052,7.20115508407953,4.5
5.35,90.0011436861608,89.9530338549107,90,0.000834729403245167,7.20116024816144,4.5
5.36,90.0017565209946,89.9534972945029,90,0.000802380163561602,7.20116504737536,4.5
5.37,90.0023495382407,89.9539664522493,90,0.000770973291412797,7.20116947519451,4.5
5.38,90.0029231451284,89.9544410099437,90,0.000740466592281218,7.20117352290632,4.5
5.39,90.0034777539355,89.9549206641013,90,0.00071081642174871,7.20117718005775,4.5
5.4,90.0040137799469,89.9554051244307,90,0.000681978273341316,7.20118043489247,4.5
5.41,90.0045316394902,89.9558941123366,90,0.000653907339733124,7.20118327477506,4.5
